service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
MT_merged_113737459,20210110,20210306,1,1,1,1,0,0,0
SA_merged_113737462,20210110,20210306,0,0,0,0,0,1,0
SA_merged_113737467,20210307,20210612,0,0,0,0,0,1,0
FR_merged_113737460,20210110,20210306,0,0,0,0,1,0,0
WK_merged_113737461,20210110,20210306,1,1,1,1,1,0,0
FR_merged_113737465,20210307,20210612,0,0,0,0,1,0,0
WK_merged_113737466,20210307,20210612,1,1,1,1,1,0,0
MT_merged_113737464,20210307,20210612,1,1,1,1,0,0,0
SU_merged_113737463,20210110,20210306,0,0,0,0,0,0,1
SU_merged_113737468,20210307,20210612,0,0,0,0,0,0,1
