stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
39.781251,1,35236,-105.138657,,,33852,Vehicles Travelling South,Ward Rd PnR (Ar),0,35236,35236
39.767591,1,35234,-104.973545,,,,Vehicles Travelling East,Larimer St & Downing St,0,35234,35234
39.764239,1,35232,-104.97787,,,,Vehicles Travelling East,Larimer St & 32nd St,0,35232,35232
39.765885,1,35233,-104.975756,,,,Vehicles Travelling East,Larimer St & 34th St,0,35233,35233
39.760294,1,35230,-104.982985,,,,Vehicles Travelling East,Larimer St & 28th St,0,35230,35230
39.762042,1,35231,-104.980714,,,,Vehicles Travelling East,Larimer St & 30th St,0,35231,35231
39.725652,1,11542,-104.929761,,,,Vehicles Travelling West,6th Ave & Elm St,0,11542,11542
39.725657,1,11540,-104.933242,,,,Vehicles Travelling West,6th Ave & Dexter St,0,11540,11540
39.725279,1,11541,-104.929176,,,,Vehicles Travelling East,6th Ave & Elm St,0,11541,11541
39.725466,1,11547,-104.869972,,,,Vehicles Travelling East,6th Ave & Fulton St,0,11547,11547
39.725646,1,11548,-104.870947,,,,Vehicles Travelling West,6th Ave & Fulton St,0,11548,11548
39.725282,1,11549,-104.925809,,,,Vehicles Travelling East,6th Ave & Glencoe St,0,11549,11549
40.037148,1,19395,-105.258301,,,,Vehicles Travelling North,28th St & Hwy 119 Farside,0,19395,19395
39.711363,1,22264,-105.040198,,,,Vehicles Travelling West,W Alameda Ave & S Perry St,0,22264,22264
39.656016,1,22268,-104.98775,,,,Vehicles Travelling South,S Broadway & W Floyd Ave,0,22268,22268
39.543953,1,25062,-104.917725,,,,Vehicles Travelling East,S University Blvd & Crossland Way,0,25062,25062
39.544393,1,25060,-104.918528,,,,Vehicles Travelling West,S University Blvd & Crossland Way,0,25060,25060
39.943201,1,25067,-105.158564,,,,Vehicles Travelling East,Rock Creek Pkwy & Pitkin Ave,0,25067,25067
39.825727,1,25065,-104.942665,,,35363,Vehicles Travelling South,Commerce City & 72nd Station Gate B,0,25065,25065
39.939493,1,25068,-105.155127,,,,Vehicles Travelling East,Rock Creek Pkwy & Indiana St,0,25068,25068
39.937656,1,25069,-105.147988,,,,Vehicles Travelling East,Rock Creek Pkwy & S 88th St,0,25069,25069
39.711249,1,11954,-104.990666,,,,Vehicles Travelling West,W Alameda Ave & S Bannock St,0,11954,11954
40.121142,1,19973,-105.151456,,,,Vehicles Travelling Northeast,Hwy 119 & Airport Rd,0,19973,19973
40.010647,1,19971,-105.102748,,,,Vehicles Travelling North,US 287 & Lucerne Dr,0,19971,19971
39.81844,1,15488,-104.912752,,,,Vehicles Travelling North,Monaco St & 67th Ave,0,15488,15488
39.80479,1,16257,-105.106662,,,,Vehicles Travelling Southeast,Ralston Rd & W 59th Pl,0,16257,16257
39.762285,1,16708,-105.011124,,,,Vehicles Travelling North,Tejon St & W 32nd Ave,0,16708,16708
39.802487,1,16255,-105.104694,,,,Vehicles Travelling North,Independence St & Ralston Rd,0,16255,16255
39.667433,1,16254,-105.04182,,,,Vehicles Travelling South,S Raleigh St & W Yale Ave,0,16254,16254
40.017338,1,19979,-105.272514,,,,Vehicles Travelling Southwest,Canyon Blvd & 17th St,0,19979,19979
39.804985,1,16258,-105.106515,,,,Vehicles Travelling Northwest,Ralston Rd & W 59th Ave,0,16258,16258
39.653478,1,16700,-104.898602,,,,Vehicles Travelling North,S Tamarac Dr & Hampden Ave,0,16700,16700
39.710914,1,12015,-105.103671,,,,Vehicles Travelling East,W Alameda Ave & S Hoyt St,0,12015,12015
39.711086,1,12016,-105.104126,,,,Vehicles Travelling West,W Alameda Ave & S Hoyt St,0,12016,12016
39.711153,1,12011,-104.921906,,,,Vehicles Travelling East,Alameda Ave & S Holly St,0,12011,12011
39.711243,1,12013,-105.029121,,,,Vehicles Travelling West,W Alameda Ave & S Hooker St,0,12013,12013
39.711387,1,12012,-104.922643,,,,Vehicles Travelling West,Alameda Ave & S Holly St,0,12012,12012
39.652937,1,26395,-104.781573,,,,Vehicles Travelling East,Hampden Ave & S Telluride Way,0,26395,26395
39.652941,1,26394,-104.783947,,,,Vehicles Travelling East,Hampden Ave & S Richfield St,0,26394,26394
39.65558,1,26397,-104.764761,,,,Vehicles Travelling North,S Ceylon Way & Floyd Ave,0,26397,26397
39.65287,1,26396,-104.771789,,,,Vehicles Travelling East,Hampden Ave & S Tower Rd,0,26396,26396
39.652937,1,26393,-104.79067,,,,Vehicles Travelling East,Hampden Ave & S Buckley Rd,0,26393,26393
39.708742,1,15950,-104.847306,,,,Vehicles Travelling South,S Peoria St & Dakota Ave,0,15950,15950
39.661309,1,26399,-104.764651,,,,Vehicles Travelling North,S Ceylon Way & Columbia Pl,0,26399,26399
39.658299,1,26398,-104.764424,,,,Vehicles Travelling North,S Ceylon Way & Eldorado Pl,0,26398,26398
39.667209,1,15955,-104.847426,,,,Vehicles Travelling South,S Peoria St & Yale Ave,0,15955,15955
39.668094,1,15954,-104.847098,,,,Vehicles Travelling North,S Peoria St & Yale Ave,0,15954,15954
39.678143,1,24882,-104.992653,,,33713,Vehicles Travelling North,Evans Station,0,24882,B
39.5389,1,24881,-105.036253,,,,Vehicles Travelling West,S Santa Fe Dr & Highlands Ranch Pkwy,0,24881,24881
39.538067,1,24880,-105.035335,,,,Vehicles Travelling East,Highlands Ranch Pkwy & S Santa Fe Dr,0,24880,24880
39.642183,1,24889,-105.02477,,,,Vehicles Travelling South,W Oxford Ave & S Federal Blvd,0,24889,24889
39.643408,1,24888,-105.004413,,,33726,Vehicles Travelling South,Oxford - City of Sheridan Station,0,24888,24888
39.763702,1,26020,-104.774848,,,,Vehicles Travelling East,Wal-Mart @ Salida St & Tower Rd,0,26020,26020
39.711159,1,22875,-104.913248,,,,Vehicles Travelling East,Alameda Ave & S Monaco Pkwy,0,22875,22875
39.971971,1,22876,-105.241884,,,,Vehicles Travelling Southwest,Greenbriar Blvd & Greenbriar Ct,0,22876,22876
39.787251,1,14624,-104.919842,,,,Vehicles Travelling North,Ivy St & 50th Ave,0,14624,14624
39.749706,1,14626,-105.21452,,,,Vehicles Travelling South,Jackson St & 19th St,0,14626,14626
39.640764,1,14620,-105.030021,,,,Vehicles Travelling South,S Irving St & W Oxford Ave,0,14620,14620
39.640767,1,14621,-105.02992,,,,Vehicles Travelling North,S Irving St & W Oxford Ave,0,14621,14621
39.703398,1,14622,-105.029872,,,,Vehicles Travelling South,S Irving St & W Walsh Pl,0,14622,14622
39.787187,1,14623,-104.920004,,,,Vehicles Travelling South,Ivy St & 50th Ave,0,14623,14623
39.747594,1,14629,-105.212543,,,,Vehicles Travelling Southwest,Jackson St & 22nd St,0,14629,14629
39.750804,1,13058,-104.940523,,,,Vehicles Travelling North,Colorado Blvd & 23rd Ave,0,13058,13058
39.754909,1,13059,-104.940463,,,,Vehicles Travelling North,Colorado Blvd & 26th Ave,0,13059,13059
39.744314,1,13053,-104.940581,,,,Vehicles Travelling North,Colorado Blvd & 17th Ave,0,13053,13053
39.737757,1,13050,-104.94053,,,,Vehicles Travelling North,Colorado Blvd & 14th Ave,0,13050,13050
39.736956,1,13051,-104.940809,,,,Vehicles Travelling South,Colorado Blvd & 13th Ave,0,13051,13051
39.717358,1,13056,-104.940846,,,,Vehicles Travelling South,Colorado Blvd & 1st Ave,0,13056,13056
39.750661,1,13057,-104.940827,,,,Vehicles Travelling South,Colorado Blvd & 23rd Ave,0,13057,13057
39.744102,1,13054,-104.940865,,,,Vehicles Travelling South,Colorado Blvd & 17th Ave,0,13054,13054
39.718163,1,13055,-104.94057,,,,Vehicles Travelling North,Colorado Blvd & 1st Ave,0,13055,13055
39.667939,1,33506,-104.937392,,,,Vehicles Travelling West,Yale Ave & S Clermont Dr,0,33506,33506
39.650897,0,33851,-105.082726,,,,Vehicles Travelling North,Wadsworth / Hampden,1,33851,
39.69386,1,33504,-104.791233,,,,Vehicles Travelling South,S Buckley Rd & Arizona Dr,0,33504,33504
39.694079,1,33505,-104.790916,,,,Vehicles Travelling North,S Buckley Rd & S Pitkin Way,0,33505,33505
39.563159,1,33502,-104.897006,,,,Vehicles Travelling South,Acres Green Dr & Park Meadows Dr,0,33502,33502
39.986706,1,33855,-105.232717,,,33743,Vehicles Travelling East,US 36 & Table Mesa Station Gate B,0,33855,33855
39.856408,1,33501,-104.991418,,,,Vehicles Travelling West,W 88th Ave & Conifer Rd,0,33501,33501
39.856487,1,17826,-105.101075,,,,Vehicles Travelling West,W 88th Ave & Garrison St,0,17826,17826
40.051086,1,19331,-105.216462,,,,Vehicles Travelling West,Jay Rd & Spine Rd,0,19331,19331
39.731664,1,23059,-105.005549,,,34109,Vehicles Travelling Southeast,10th & Osage Station,0,23059,A
39.74033,1,23058,-105.002519,,,33724,Vehicles Travelling West,Colfax at Auraria Station,0,23058,A
39.677566,1,23509,-105.024891,,,34140,Vehicles Travelling North,S Federal Blvd & W Warren Ave,0,23509,23509
39.837516,1,23507,-105.053402,,,,Vehicles Travelling South,Sheridan Blvd & W 78th Ave,0,23507,23507
39.747879,1,23054,-104.987032,,,34118,Vehicles Travelling Southwest,20th & Welton Station,0,23054,A
39.746121,1,23056,-104.992838,,,34115,Vehicles Travelling Southwest,16th & Stout Station,0,23056,A
39.759213,1,23051,-104.973456,,,33703,Vehicles Travelling North,30th & Downing Station,0,23051,A
39.753227,1,23053,-104.97998,,,34119,Vehicles Travelling Southwest,25th & Welton Station,0,23053,A
39.743652,1,29104,-104.997481,,,34113,Vehicles Travelling North,Theatre District / Convention Center Station,0,29104,A
39.773673,1,34558,-104.996885,,,34548,Vehicles Travelling North,41st & Fox Station Track 1,0,34558,A
39.773021,1,34559,-104.996992,,,34548,Vehicles Travelling South,41st & Fox Station Track 2,0,34559,A
39.748817,1,24519,-104.772472,,,,Vehicles Travelling South,Tower Rd & 22nd Ave,0,24519,24519
39.794008,1,15285,-104.828746,,,,Vehicles Travelling Northwest,Maxwell Pl & Yost Ct,0,15285,15285
