block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_51  3,51,0,US36 & Sheridan,1169566,WK_merged_113737461,113621307
b_76  5,76,1,Lakewood Commons,1178320,SU_merged_113737468,113732618
b_FF  5,FF1,1,Downtown Boulder All-Station,1178609,SU_merged_113737468,113735135
b_FF  4,FF3,1,US36 & Broomfield,1178617,SU_merged_113737468,113735134
b_FF  2,FF1,1,Downtown Boulder All-Station,1178616,SU_merged_113737468,113735137
b_FF  3,FF1,1,Downtown Boulder All-Station,1178616,SU_merged_113737468,113735136
b_FF  2,FF1,1,Downtown Boulder All-Station,1178616,SU_merged_113737468,113735131
b_FF  4,FF1,0,Union Station All-Station,1178549,SU_merged_113737468,113735130
b_FF  2,FF3,1,US36 & Broomfield,1178617,SU_merged_113737468,113735133
b_FF  5,FF1,1,Downtown Boulder All-Station,1178609,SU_merged_113737468,113735132
b_FF  3,FF1,1,Downtown Boulder All-Station,1178616,SU_merged_113737468,113735139
b_FF  4,FF1,1,Downtown Boulder All-Station,1178616,SU_merged_113737468,113735138
a_SKIP  1,SKIP,0,Front Range/Broadway,1170437,SU_merged_113737463,113626921
a_A  7,A,0,Denver Airport,1169712,SA_merged_113737462,113623732
a_A  4,A,0,Denver Airport,1169712,SA_merged_113737462,113623731
a_SKIP  3,SKIP,0,Front Range/Broadway,1170437,SU_merged_113737463,113626922
a_A  4,A,0,Denver Airport,1169712,SA_merged_113737462,113623737
a_A  1,A,0,Denver Airport,1169712,SA_merged_113737462,113623736
a_SKIP  4,SKIP,0,Front Range/Broadway,1170437,SU_merged_113737463,113626927
a_SKIP  1,SKIP,0,Front Range/Broadway,1170435,SU_merged_113737463,113626926
b_40  6,40,1,Colorado Stn,1178163,WK_merged_113737466,113729942
b_40  9,40,1,Southmoor via Colorado Blvd,1178166,WK_merged_113737466,113729945
b_21 31,21,1,Kipling,1178026,WK_merged_113737466,113727433
b_101 11,101D,1,D-Line Mineral,1177672,SU_merged_113737468,113720420
b_A  2,A,1,Union Station,1178378,MT_merged_113737464,113733833
b_101 12,101D,1,D-Line Mineral,1177672,SU_merged_113737468,113720423
b_101 10,101D,1,D-Line Mineral,1177672,SU_merged_113737468,113720422
b_101 55,101H,1,H-Line Florida,1177664,FR_merged_113737465,113718782
b_40  9,40,1,Southmoor via Colorado Blvd,1178166,WK_merged_113737466,113729944
b_101 15,101D,1,D-Line Mineral,1177672,SU_merged_113737468,113720425
b_21  1,21,1,Evans Station,1178022,WK_merged_113737466,113727436
b_101 13,101D,1,D-Line Mineral,1177672,SU_merged_113737468,113720427
b_101 11,101D,1,D-Line Mineral,1177672,SU_merged_113737468,113720426
b_101 12,101D,1,D-Line Mineral,1177672,SU_merged_113737468,113720429
b_40  1,40,1,Colorado Stn,1178165,WK_merged_113737466,113729947
a_43  1,43,1,Auraria Downtown,1169532,SA_merged_113737462,113620182
a_A  1,A,1,Union Station,1169715,SU_merged_113737463,113623959
